Year (Final),Limited Tier Paid Subscription,Other Ad-Supported Streaming,On-Demand Streaming (Ad-Supported),Paid Subscription,Other Digital,Download Music Video,Ringtones & Ringbacks,Download Single,Download Album,SACD,CD Single,CD,Cassette Single,Cassette,Vinyl Single,LP/EP,Streaming,Download,CD,Cassette,Vinyl
1983,0,0,0,0,0,0,0,0,0,0,0,52.6,0,5540,823.9,5167.1,0,0,52.6,5540,5991
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,4371.6,893.6,6078.6,0,0,0,4371.6,6972.2
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,3562.6,859.5,7849.5,0,0,0,3562.6,8709
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,2607,924.5,8135.2,0,0,0,2607,9059.7
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,2436.8,1484.1,8633.2,0,0,0,2436.8,10117.3
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,2102.1,1216.5,11558.6,0,0,0,2102.1,12775.1
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,1232.4,11037.2,0,0,0,1255,12269.6
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,780.2,1312.5,8905.4,0,0,0,780.2,10217.9
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,559.6,1197.9,8410.5,0,0,0,559.6,9608.4
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,538.9,1199,8380.9,0,0,0,538.9,9579.9
,,,,,,,,,,,,,,521.6,1303.9,8550.9,0,0,0,521.6,9854.8
